antecedente,consecuente,soporte_a,soporte_c,soporte_ab,confianza,lift,conteo
ZUKO TE FRIO FRAMBUESA 13gr,ARROZ TIO PELON ROJO 91% 9K,0.0227147353733329,0.02920465976571373,0.009734886588571244,42.857142857142854,11.74,3
RINSO ROSAS Y LILAS 1500G,RINSO ROSAS Y LILAS 1000G,0.019469773177142487,0.0227147353733329,0.006489924392380829,33.33333333333333,11.74,2
MARSHMALLOW STARS QUAKER 377G,ATUN PRONTO TROCITOS 354 G,0.0227147353733329,0.019469773177142487,0.006489924392380829,28.57142857142857,11.74,2
MARSHMALLOW STARS QUAKER 377G,"FULIDER CUADERNO COSIDO PEQ UNICOLOR 165X210,55G 50H 96/CJ",0.0227147353733329,0.019469773177142487,0.006489924392380829,28.57142857142857,11.74,2
ACEITE CAPULLO 900 ML OFERTA,PASTA MAXFRESH 50 ML Z,0.025959697569523318,0.025959697569523318,0.009734886588571244,37.5,11.56,3
AJINOMOTO SUPER AMERICA 500 GS,ph. delsey 2 preg. 12x4,0.05840931953142746,0.019469773177142487,0.016224810980952072,27.77777777777778,11.41,5
FRIJOL TOCORORO NEGRO 800 GRS,AXION BARRA LIMON 250G,0.04218450855047539,0.016224810980952072,0.009734886588571244,23.076923076923077,11.38,3
AXION LIQUIDO 400 ML,GALLETA COCANAS PAQ8 UNIDADES,0.019469773177142487,0.03569458415809455,0.009734886588571244,50.0,11.21,3
MUSLITO DE POLLO LA GRANJA 4 UDS,CEREAL BARRA 6,0.02920465976571373,0.016224810980952072,0.006489924392380829,22.22222222222222,10.96,2
GALLETA DE AVENA 38 G. MANZANA CANELA,LECHE DESCREMA TB 250ML 0%,0.02920465976571373,0.016224810980952072,0.006489924392380829,22.22222222222222,10.96,2
MILAN x 12 und,CORAZON GALLITO 25und,0.016224810980952072,0.02920465976571373,0.006489924392380829,40.0,10.96,2
CAFE DORADO 2PACK,LAVAPLATOS IREX  LIMON 250GRS,0.02920465976571373,0.032449621961904145,0.012979848784761659,44.44444444444444,10.96,4
ARROZ TIO PELON ROJO 91% 9K,ZUKO LIMON 13gr,0.02920465976571373,0.016224810980952072,0.006489924392380829,22.22222222222222,10.96,2
papel higuienico Nevax 900 H.,CONSOME KNORR/P/ ARROZ  PT/4,0.02920465976571373,0.016224810980952072,0.006489924392380829,22.22222222222222,10.96,2
ACEITE CLOVER SOYA 3 LTR,ATUN VEGETALES SARDIMAR 105GR,0.019469773177142487,0.04867443294285622,0.012979848784761659,66.66666666666666,10.96,4
